domain	utterance	semantic_parse
weather	Tell me the weather forecast for Spain	[IN:GET_WEATHER Tell me the weather forecast for [SL:LOCATION Spain ] ]
weather	How warm is it boston today in degree f	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:LOCATION boston ] [SL:DATE_TIME today ] in degree [SL:WEATHER_TEMPERATURE_UNIT f ] ]
weather	Hows the weather in york tomorrow afternoon?	[IN:GET_WEATHER Hows the weather in [SL:LOCATION york ] [SL:DATE_TIME tomorrow afternoon ] ? ]
weather	How cold is it around Seattle tonight in degree C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it around [SL:LOCATION Seattle ] [SL:DATE_TIME tonight ] in degree [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	What time is sundown?	[IN:GET_SUNSET What time is sundown ? ]
weather	Weather by Celsius	[IN:GET_WEATHER Weather by [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	can i go for a run this morning	[IN:UNSUPPORTED_WEATHER can i go for a run [SL:DATE_TIME this morning ] ]
weather	What is the dew point?	[IN:UNSUPPORTED_WEATHER What is the [SL:WEATHER_ATTRIBUTE dew point ] ? ]
weather	What is the temperature in Celsius?	[IN:GET_WEATHER What is the temperature in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	Is it going to be around 55 degrees Celsius sao paulo tomorrow morning	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 55 ] degrees [SL:WEATHER_TEMPERATURE_UNIT Celsius ] [SL:LOCATION sao paulo ] [SL:DATE_TIME tomorrow morning ] ]
weather	when's sunrise	[IN:GET_SUNRISE when 's sunrise ]
weather	What time does the sun rise today	[IN:GET_SUNRISE What time does the sun rise [SL:DATE_TIME today ] ]
weather	How warm is it at Sao Paulo degrees Celsius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it at [SL:LOCATION Sao Paulo ] degrees [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	How many tropical storms turn into hurricanes	[IN:UNSUPPORTED_WEATHER How many tropical [SL:WEATHER_ATTRIBUTE storms ] turn into hurricanes ]
weather	Can I go skiing tomorrow?	[IN:UNSUPPORTED_WEATHER Can I go skiing tomorrow ? ]
weather	When does hurricane season start	[IN:UNSUPPORTED_WEATHER When does [SL:WEATHER_ATTRIBUTE hurricane ] season start ]
weather	How warm is it tomorrow morning in degree fahrenheit	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME tomorrow morning ] in degree [SL:WEATHER_TEMPERATURE_UNIT fahrenheit ] ]
weather	What's the weather in Celsius degree?	[IN:GET_WEATHER What 's the weather in [SL:WEATHER_TEMPERATURE_UNIT Celsius degree ] ? ]
weather	how many tornadoes have touched down this season	[IN:UNSUPPORTED_WEATHER how many tornadoes have touched down this season ]
weather	what time is the sunset tonight	[IN:GET_SUNSET what time is the sunset [SL:DATE_TIME tonight ] ]
weather	How many hours of sun will we get today?	[IN:UNSUPPORTED_WEATHER How many hours of sun will we get today ? ]
weather	Can you guess the climate for next week here?	[IN:GET_WEATHER Can you guess the climate [SL:DATE_TIME for next week ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ? ]
weather	Did it snow in New York in February of last year	[IN:UNSUPPORTED_WEATHER Did it [SL:WEATHER_ATTRIBUTE snow ] in New York [SL:DATE_TIME in February ] of [SL:DATE_TIME last year ] ]
weather	when does it start getting dark out	[IN:GET_SUNSET when does it start getting dark out ]
weather	Temperature near New York tomorrow F	[IN:GET_WEATHER Temperature near [SL:LOCATION New York ] [SL:DATE_TIME tomorrow ] [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	How warm is it tonight for Beijing in degrees C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME tonight ] for [SL:LOCATION Beijing ] in degrees [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	what is the best day for me to go to the beach this week	[IN:UNSUPPORTED_WEATHER what is the best day for me to go to the [SL:LOCATION beach ] [SL:DATE_TIME this week ] ]
weather	when will it be sunset	[IN:GET_SUNSET when will it be sunset ]
weather	what is the record high temp for my area	[IN:UNSUPPORTED_WEATHER what is the record high temp for [SL:LOCATION my area ] ]
weather	How cold is it for London tomorrow degrees Fahrenheit	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it for [SL:LOCATION London ] [SL:DATE_TIME tomorrow ] degrees [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ]
weather	What's the low temp tonight in Celsius	[IN:GET_WEATHER What 's the [SL:WEATHER_ATTRIBUTE low temp ] [SL:DATE_TIME tonight ] in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	When will the first snow fall	[IN:UNSUPPORTED_WEATHER When will the first [SL:WEATHER_ATTRIBUTE snow ] fall ]
weather	When was the last earthquake in my area	[IN:UNSUPPORTED_WEATHER When was the last earthquake in [SL:LOCATION my area ] ]
weather	How hot is it this weekend in Manila in degree F	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:DATE_TIME this weekend ] in [SL:LOCATION Manila ] in degree [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	what is the protocol for stormy weather in schools	[IN:UNSUPPORTED_WEATHER what is the protocol for [SL:WEATHER_ATTRIBUTE stormy ] weather in [SL:LOCATION schools ] ]
weather	How hot is it tomorrow here in degree Celcius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:DATE_TIME tomorrow ] [SL:LOCATION here ] in degree [SL:WEATHER_TEMPERATURE_UNIT Celcius ] ]
weather	do you think ill be able to play outside this afternoon	[IN:UNSUPPORTED_WEATHER do you think ill be able to play outside this afternoon ]
weather	What exactly is high pressure? What about low pressure	[IN:UNSUPPORTED_WEATHER What exactly is high pressure ? What about low pressure ]
weather	Will there be a high pollen count today?	[IN:UNSUPPORTED_WEATHER Will there be a [SL:WEATHER_ATTRIBUTE high ] [SL:WEATHER_ATTRIBUTE pollen count ] [SL:DATE_TIME today ] ? ]
weather	Is the temperature expected to exceed 35 degrees Celsius?	[IN:GET_WEATHER Is the temperature expected to exceed [SL:WEATHER_ATTRIBUTE 35 degrees ] [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	What is the maximum temperature today in celcius?	[IN:GET_WEATHER What is the maximum temperature [SL:DATE_TIME today ] in [SL:WEATHER_TEMPERATURE_UNIT celcius ] ? ]
weather	Temperature today Fahrenheit	[IN:GET_WEATHER Temperature [SL:DATE_TIME today ] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ]
weather	Is it going to be below 40 degrees celsius in Houston tonight	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 40 ] degrees [SL:WEATHER_TEMPERATURE_UNIT celsius ] in [SL:LOCATION Houston ] [SL:DATE_TIME tonight ] ]
weather	What time is the sunset today	[IN:GET_SUNSET What time is the sunset [SL:DATE_TIME today ] ]
weather	How cold is it for Mumbai this weekend in degree C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it for [SL:LOCATION Mumbai ] [SL:DATE_TIME this weekend ] in degree [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	How hot is it at Boston tomorrow morning in C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it at [SL:LOCATION Boston ] [SL:DATE_TIME tomorrow morning ] in [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	Temperature shanghai today C	[IN:GET_WEATHER Temperature [SL:LOCATION shanghai ] [SL:DATE_TIME today ] [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	How hot it is Celsius?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] it is [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	WHAT TIME IS SUNRISE TOMORROW	[IN:GET_SUNRISE WHAT TIME IS SUNRISE [SL:DATE_TIME TOMORROW ] ]
weather	How hot is it out there tomorrow morning Fahrenheit	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:LOCATION out there ] [SL:DATE_TIME tomorrow morning ] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ]
weather	How hot does it get in Rome in March	[IN:UNSUPPORTED_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] does it get in [SL:LOCATION Rome ] [SL:DATE_TIME in March ] ]
weather	Will it be below 83 in degree F at Menlo Park tonight	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 83 ] in degree [SL:WEATHER_TEMPERATURE_UNIT F ] at [SL:LOCATION Menlo Park ] [SL:DATE_TIME tonight ] ]
weather	Temperature at Chicago today Celcius	[IN:GET_WEATHER Temperature at [SL:LOCATION Chicago ] [SL:DATE_TIME today ] [SL:WEATHER_TEMPERATURE_UNIT Celcius ] ]
weather	Will it be below 35 in degrees F out there tomorrow	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 35 ] in degrees [SL:WEATHER_TEMPERATURE_UNIT F ] [SL:LOCATION out there ] [SL:DATE_TIME tomorrow ] ]
weather	When does fall weather being	[IN:UNSUPPORTED_WEATHER When does fall weather being ]
weather	Temperature out there tonight C	[IN:GET_WEATHER Temperature [SL:LOCATION out there ] [SL:DATE_TIME tonight ] [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	How cold is it this weekend london degrees Celsius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it [SL:DATE_TIME this weekend ] [SL:LOCATION london ] degrees [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	Is it going to be below 6 in F manila tomorrow	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 6 ] in [SL:WEATHER_TEMPERATURE_UNIT F ] [SL:LOCATION manila ] [SL:DATE_TIME tomorrow ] ]
weather	Temperature near Tokyo today F	[IN:GET_WEATHER Temperature near [SL:LOCATION Tokyo ] [SL:DATE_TIME today ] [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	How hot is it tonight san francisco in degrees c	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:DATE_TIME tonight ] [SL:LOCATION san francisco ] in degrees [SL:WEATHER_TEMPERATURE_UNIT c ] ]
weather	What is the hottest temperature reported in the world	[IN:UNSUPPORTED_WEATHER What is the [SL:WEATHER_ATTRIBUTE hottest ] temperature reported in the world ]
weather	Is adam a tropical depression	[IN:UNSUPPORTED_WEATHER Is adam a tropical depression ]
weather	Will it be above 31 in degrees Fahrenheit in London today	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE above ] [SL:WEATHER_ATTRIBUTE 31 ] in degrees [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] in [SL:LOCATION London ] [SL:DATE_TIME today ] ]
weather	What's the rainfall measurement in cm?	[IN:UNSUPPORTED_WEATHER What 's the [SL:WEATHER_ATTRIBUTE rainfall ] measurement in cm ? ]
weather	What is a cumulus cloud formation	[IN:UNSUPPORTED_WEATHER What is a cumulus [SL:WEATHER_ATTRIBUTE cloud ] formation ]
weather	Can you check today's temperature in Celsius?	[IN:GET_WEATHER Can you check [SL:DATE_TIME today ] 's temperature in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	Temperature at Seattle tomorrow morning F	[IN:GET_WEATHER Temperature at [SL:LOCATION Seattle ] [SL:DATE_TIME tomorrow morning ] [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	severe weather alert	[IN:UNSUPPORTED_WEATHER severe weather alert ]
weather	How cold is it mumbai in degrees C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it [SL:LOCATION mumbai ] in degrees [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	Temperature at Seattle Celcius	[IN:GET_WEATHER Temperature at [SL:LOCATION Seattle ] [SL:WEATHER_TEMPERATURE_UNIT Celcius ] ]
weather	What time is the sunset today	[IN:GET_SUNSET What time is the sunset [SL:DATE_TIME today ] ]
weather	what is the dew point?	[IN:UNSUPPORTED_WEATHER what is the [SL:WEATHER_ATTRIBUTE dew point ] ? ]
weather	Temperature in Manila Celsius	[IN:GET_WEATHER Temperature in [SL:LOCATION Manila ] [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	What is the temperature right now in Celsius and Fahrenheit?	[IN:GET_WEATHER What is the temperature right now in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] and [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ? ]
weather	Should I take the bus or walk to work tomorrow?	[IN:UNSUPPORTED_WEATHER Should I take the bus or walk to work tomorrow ? ]
weather	what is the average wind speed in central ohio during the fall	[IN:UNSUPPORTED_WEATHER what is the average [SL:WEATHER_ATTRIBUTE wind ] speed in [SL:LOCATION central ohio ] during the fall ]
weather	What time is sunrise tomorrow?	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ? ]
weather	What time does the sun rise tomorrow morning	[IN:GET_SUNRISE What time does the sun rise [SL:DATE_TIME tomorrow morning ] ]
